compound_name,Concentration uM,morphology score,infection rate (%),Cell model,chembl_id,is_CP_hit,is_324_hit,top_74_rank,is_74_hit,is_5_hit,HIT_antiviral_AB_Y/N,HIT_CPE_Y/N,HIT_cellpaiting_Y/N,is_AB_hit,is_CPE_hit,Concentration CPE (nM),Inhibition of cytopathicity (%)
A-803467,10.0,0.03,111.5,Vero E6,CHEMBL250699,False,False,,False,False,N,N,N,False,False,1.0,1.92
A-804598,10.0,0.1,98.5,Vero E6,CHEMBL1628690,False,False,,False,False,N,N,N,False,False,10000.0,1.97
A-839977,10.0,-0.06,109.5,Vero E6,CHEMBL1628691,False,False,,False,False,N,N,N,False,False,10000.0,1.67
A-867744,10.0,0.1,102.5,Vero E6,CHEMBL490153,False,False,,False,False,N,N,N,False,False,10000.0,3.3
A-887826,10.0,-0.15,108.0,Vero E6,CHEMBL4303253,False,False,,False,False,N,N,N,False,False,100.0,-0.55
A-939572,10.0,-0.1,114.0,Vero E6,CHEMBL469169,False,False,,False,False,N,N,N,False,False,1.0,0.48
A-967079,10.0,0.04,109.5,Vero E6,CHEMBL3697701,False,False,,False,False,N,N,N,False,False,100.0,0.55
A-987306,10.0,0.25,83.5,Vero E6,CHEMBL1935450,False,False,,False,False,N,N,N,False,False,833.33,2.05
A12B4C3,10.0,0.5,69.5,Vero E6,CHEMBL4303462,True,True,73.0,True,False,N,N,Y,False,False,10000.0,8.83
A205804,10.0,-0.15,114.5,Vero E6,CHEMBL267678,False,False,,False,False,N,N,N,False,False,10000.0,4.33
A61603,10.0,0.03,110.5,Vero E6,CHEMBL109783,False,False,,False,False,N,N,N,False,False,1.0,1.13
A66,10.0,0.16,94.5,Vero E6,CHEMBL3218581,False,False,,False,False,N,N,N,False,False,833.33,3.32
A740003,10.0,0.3,97.0,Vero E6,CHEMBL255787,False,False,,False,False,N,N,N,False,False,100.0,1.99
A77636,0.83,-0.07,115.0,Vero E6,CHEMBL291143,False,False,,False,False,N,N,N,False,False,100.0,2.31
A922500,10.0,0.2,100.0,Vero E6,CHEMBL430405,False,False,,False,False,N,N,N,False,False,100.0,8.11
A922500,10.0,-0.09,105.0,Vero E6,CHEMBL430405,False,False,,False,False,N,N,N,False,False,100.0,8.11
