compound_name,chembl_id,is_AB_hit,infection rate (%)
BRL-50481,CHEMBL484928,False,97.0
BRL-52537,CHEMBL71294,False,91.5
BRL-54443,CHEMBL1371156,False,101.0
BS-181,CHEMBL1801932,True,41.0
BTB06584,CHEMBL4303674,False,104.0
BTB1,CHEMBL1990168,False,116.0
BTS,CHEMBL1625728,False,100.5
BTS-54505,CHEMBL1597911,False,115.5
BTS-72664,CHEMBL4303701,False,112.0
BTT-3033,CHEMBL4303254,False,83.5
BU-224,CHEMBL13698,False,93.0
BU-239,CHEMBL1368511,False,93.0
BU226,CHEMBL1518173,False,102.0
BVD-523,CHEMBL3590106,False,109.0
BVT-2733,CHEMBL463978,False,110.0
BVT-948,CHEMBL580421,False,113.5
BW-180C,CHEMBL340032,False,97.0
BW-373U86,CHEMBL25230,False,105.0
BW-616U,CHEMBL81099,False,107.5
BW-723C86,CHEMBL1600780,False,90.0
BW-A4C,CHEMBL314360,False,97.5
BX-795,CHEMBL577784,False,118.0
BX-912,CHEMBL3916849,False,110.0
BYK-204165,CHEMBL4303397,False,100.0
Bardoxolone Methyl,CHEMBL1762621,False,107.0
Betapar (Meprednisone),CHEMBL1201148,False,108.0
Boceprevir,CHEMBL218394,False,100.0
Brivaracetam,CHEMBL607400,False,111.0
C-021,CHEMBL508207,True,51.5
C-1,CHEMBL75773,False,102.5
C-751,CHEMBL4303392,False,112.5
C34,CHEMBL4303607,False,92.5
C646,CHEMBL1797936,False,108.5
CARBENOXOLONE SODIUM,CHEMBL1697717,False,106.0
CARISOPRODOL,CHEMBL1233,False,115.5
CAY10505,CHEMBL590022,False,111.5
CB-03-01,CHEMBL3590187,False,101.5
CB-10-277,CHEMBL422037,False,99.5
CB-5083,CHEMBL3747513,False,116.5
CB-839,CHEMBL3639788,False,104.5
CBiPES,CHEMBL4303163,False,87.0
CC-115,CHEMBL3586573,False,96.5
CC-223,CHEMBL3586404,False,82.5
CC-401,CHEMBL1614713,False,94.5
CC-930,CHEMBL1950289,False,101.0
CC4,CHEMBL4303499,False,108.0
CCG-1423,CHEMBL4303616,False,89.5
CCG-50014,CHEMBL1917204,False,96.0
CCG-63802,CHEMBL1476646,False,106.5
CCG-63808,CHEMBL1604848,False,101.5
CCMI,CHEMBL271130,False,103.0
CCMQ,CHEMBL25599,False,92.0
CCT-031374,CHEMBL4303205,True,35.0
CCT018159,CHEMBL399530,False,113.5
CCT128930,CHEMBL263664,False,99.5
CCT129202,CHEMBL392525,False,74.5
CCT137690,CHEMBL1236904,False,116.5
CD-1530,CHEMBL5277896,False,106.5
CD-437,CHEMBL1180,False,87.5
CDBA,,False,107.5
CDK1-5-inhibitor,CHEMBL259389,False,111.5
CDPPB,CHEMBL190270,False,103.5
CE3F4,CHEMBL4159565,False,94.5
CEFTIOFUR HYDROCHLORIDE,CHEMBL2106486,False,104.5
CEFUROXIME SODIUM,CHEMBL2146124,False,98.5
CEP-32496,CHEMBL2029988,False,110.5
CEP-33779,CHEMBL2062804,False,106.5
CF102,CHEMBL431733,False,107.0
CFM-2,CHEMBL279218,False,94.5
CFTRinh-172,CHEMBL1554655,False,108.0
CG-400549,CHEMBL488937,False,102.0
CGH2466,CHEMBL1551336,False,99.5
CGK-733,CHEMBL1221601,False,104.5
CGM097,CHEMBL3601398,False,93.5
CGP-12177,CHEMBL420746,False,103.0
CGP-13501,CHEMBL1256746,False,94.0
CGP-20712A,CHEMBL280822,False,112.5
CGP-37157,CHEMBL1495071,False,89.0
CGP-37849,CHEMBL29811,False,110.0
CGP-52411,CHEMBL268868,False,72.0
CGP-53353,CHEMBL7939,False,77.5
CGP-54626,CHEMBL2391908,False,113.5
CGP-55845,CHEMBL455185,False,105.5
CGP-57380,CHEMBL1240885,False,95.5
CGP-60474,CHEMBL300389,False,98.0
CGP-71683,CHEMBL17645,False,93.5
CGP-74514,CHEMBL367625,False,114.5
CGP-78608,CHEMBL86313,False,101.0
CGP-7930,CHEMBL1256697,False,108.0
CGS-15943,CHEMBL16687,False,108.5
