chembl_id,mechanism_of_action,action_type,target_chembl_id,protein_symbol,ensg_id,disease_id,protein_association_score,moa_association_score_x,moa_protein_count_x,moa_protein_symbols_x,moa_association_score_y,moa_protein_count_y,moa_protein_symbols_y
CHEMBL564829,Cyclin-dependent kinase 2 inhibitor,INHIBITOR,CHEMBL301,CDK2,ENSG00000123374,MONDO_0100096,0.012175602990446007,,,,0.012175602990446007,1.0,CDK2
CHEMBL564829,Cyclin-dependent kinase 4 inhibitor,INHIBITOR,CHEMBL331,CDK4,ENSG00000135446,MONDO_0100096,0.07633407494718954,,,,0.07633407494718954,1.0,CDK4
CHEMBL564829,Nerve growth factor receptor Trk-A inhibitor,INHIBITOR,CHEMBL2815,NTRK1,ENSG00000198400,MONDO_0100096,0.016169627888165575,,,,0.016169627888165575,1.0,NTRK1
CHEMBL164770,,,,,,MONDO_0100096,,,,,,,
CHEMBL1093534,,,,,,MONDO_0100096,,,,,,,
CHEMBL595583,,,,,,MONDO_0100096,,,,,,,
CHEMBL191066,,,,,,MONDO_0100096,,,,,,,
CHEMBL573339,,,,,,MONDO_0100096,,,,,,,
CHEMBL4084907,,,,,,MONDO_0100096,,,,,,,
CHEMBL3786230,,,,,,MONDO_0100096,,,,,,,
CHEMBL3182327,,,,,,MONDO_0100096,,,,,,,
CHEMBL1241767,,,,,,MONDO_0100096,,,,,,,
CHEMBL393525,,,,,,MONDO_0100096,,,,,,,
CHEMBL1229535,,,,,,MONDO_0100096,,,,,,,
CHEMBL409038,,,,,,MONDO_0100096,,,,,,,
CHEMBL1364808,,,,,,MONDO_0100096,,,,,,,
