batch_ID,compound_name,HIT_CPE_Y/N,HIT_cellpaiting_Y/N,HIT_antiviral_AB_Y/N,MOA_clue_METADATA,Target_clue_METADATA,Pubchem_IsomericSMILES,Pubchem_CID
BJ1894492,rimcazole,Y,Y,Y,sigma receptor antagonist,SIGMAR1,C[C@@H]1CN(C[C@@H](N1)C)CCCN2C3=CC=CC=C3C4=CC=CC=C42,53389
BJ1898889,NU-6027,Y,Y,Y,CDK inhibitor,"CCNA2, CDK2",C1CCC(CC1)COC2=NC(=NC(=C2[NH2+][O-])N)N,129010108
BJ1898256,ruxolitinib-(S),N,Y,N,JAK inhibitor,"JAK1, JAK2",C1CCC(C1)[C@@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,25126798
BJ1896192,MCOPPB,Y,Y,Y,nociceptin/orphanin FQ receptor agonist,OPRL1,CC1(CCCCCCC1)N2CCC(CC2)N3C4=CC=CC=C4N=C3[C@@H]5CCCNC5,24800108
BJ1898324,tie2-kinase-inhibitor,N,Y,N,TIE tyrosine kinase inhibitor,"KDR, MAPK14",COC1=CC2=C(C=C1)C=C(C=C2)C3=C(NC(=N3)C4=CC=C(C=C4)S(=O)C)C5=CC=NC=C5,23625762
BJ1898322,KU-60019,Y,Y,N,ATM kinase inhibitor,ATM,C[C@@H]1CN(C[C@@H](O1)C)CC(=O)NC2=CC3=C(C=C2)SC4=C(C3)C=CC=C4C5=CC(=O)C=C(O5)N6CCOCC6,15953870
BJ1898312,AM-1241,N,Y,N,cannabinoid receptor agonist,"CNR1, CNR2",CN1CCCCC1CN2C=C(C3=CC=CC=C32)C(=O)C4=C(C=CC(=C4)[N+](=O)[O-])I,10141893
BJ1894372,CY208-243,N,Y,N,dopamine receptor agonist,CALY,CN1CC2=CC=CC=C2[C@H]3[C@H]1CC4=CNC5=CC=CC3=C45,58144
BJ1898868,XL019,N,Y,N,JAK inhibitor,"JAK1, JAK2, JAK3",C1C[C@H](NC1)C(=O)NC2=CC=C(C=C2)C3=NC(=NC=C3)NC4=CC=C(C=C4)N5CCOCC5,57990869
BJ1898834,ebastine,N,Y,Y,histamine receptor antagonist,"CYP3A4, HRH1",CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN2CCC(CC2)OC(C3=CC=CC=C3)C4=CC=CC=C4,3191
