compound_name,Concentration (nM),Inhibition of cytopathicity (%),Non_infected cell viability(%),Duplicated
AN2718,100.0,2.68,94.74629804,0
ANA-12,10000.0,-0.14,103.582522,0
anacetrapib,10000.0,2.39,93.2359585,0
anagliptin,833.33,0.84,98.80595989,0
anagrelide,10000.0,0.92,99.32709922,0
anamorelin,100.0,9.14,100.7420678,0
anastrozole,8.33,0.38,99.21799757,0
andarine,8.33,-0.36,104.1977912,0
andrographolide,10000.0,32.53,73.79199929,0
androstenone,833.33,0.87,93.44535865,0
anethole-trithione,10000.0,2.76,105.7689247,0
anidulafungin,100.0,1.56,104.148924,0
aniracetam,100.0,0.75,95.896198,0
anisindione,100.0,2.19,94.73210868,0
anisodamine,833.33,5.76,104.6575991,0
anisomycin,100.0,44.19,34.05774371,0
anisotropine,833.33,1.47,96.59801302,0
anlotinib,1.0,1.84,91.21722604,0
anpirtoline,100.0,1.08,99.077514,0
ANR-94,8.33,2.22,100.3371359,0
ansamitocin-p-3,1.0,2.87,72.05076854,0
antagonist-g,1.0,2.09,96.24932771,0
antalarmin,10000.0,2.0,98.16881942,0
antazoline,833.33,-1.01,90.40689212,0
anthralin,100.0,0.93,95.9731875,0
anthraquinone,833.33,1.54,103.5604447,0
antimony-potassium,10000.0,8.42,108.9209437,0
antimonyl,1.0,0.49,98.67898191,0
AP-18,100.0,3.91,101.9250594,0
AP1903,100.0,-0.97,101.5273825,0
AP26113,8.33,0.01,105.4028798,0
apabetalone,100.0,2.32,105.0924974,0
apafant,10000.0,28.98,99.66946923,0
apalutamide,100.0,1.33,99.31920799,0
apatinib,1.0,1.27,96.45587149,0
APC-100,833.33,4.37,88.08223769,0
APcK-110,1.0,12.02,99.13396001,0
APD597,8.33,0.8,98.23266723,0
APD668,100.0,2.78,100.4448474,0
aphidicolin,833.33,-0.76,90.74060221,0
API-001,10000.0,1.91,103.3052169,0
API-1,1.0,7.05,96.98257484,0
apigenin,10000.0,6.4,91.96418403,0
apocynin,10000.0,1.17,93.63133962,0
apoptosis-activator-II,1.0,1.74,106.0758895,0
APR-246,10000.0,4.84,93.13539814,0
apraclonidine,8.33,1.32,89.08542255,0
apramycin,10000.0,0.71,102.4656781,0
apremilast,1.0,2.28,104.0055179,0
aprepitant,1.0,-2.6,97.43731961,0
apricitabine,8.33,2.59,96.92635496,0
aptiganel,8.33,1.91,100.2591287,0
APTO-253,10000.0,2.7,86.91078968,0
APY-29,10000.0,5.62,13.7887543,0
APY0201,100.0,27.32,96.70654325,0
AQ-RA741,8.33,0.18,105.5645547,0
AR-12,8.33,2.22,94.28142181,0
AR-42,1.0,3.84,96.99803644,0
AR-A014418,8.33,2.48,104.0267804,0
AR-C155858,8.33,3.88,98.69476537,0
arbidol,833.33,4.8,103.6599614,0
arbutin,10000.0,0.83,94.51815614,0
ARC-239,100.0,2.69,101.7541835,0
arctigenin,10000.0,2.1,94.99094608,0
arcyriaflavin-a,8.33,-1.16,103.2914476,0
arecaidine-propargyl-ester,10000.0,2.67,107.1122051,0
arecoline,8.33,1.95,104.1388251,0
argatroban,8.33,2.45,99.1078933,0
arglabin,10000.0,29.19,103.4775939,0
aripiprazole,1.0,5.18,94.07923996,0
arofylline,100.0,0.16,100.6527577,0
arotinolol,10000.0,-6.09,98.42980809,0
ARQ-092,10000.0,11.99,84.68560799,0
ARQ-621,833.33,1.38,100.713701,0
ARRY-334543,1.0,2.68,107.1413542,0
arsanilic-acid,8.33,1.05,98.81838109,0
arsenic-trioxide,10000.0,7.21,105.917603,0
artemether,1.0,7.32,102.643745,0
artemisinin,833.33,3.83,96.93284506,0
artemotil,100.0,1.56,95.79528904,0
ARTENIMOL,833.33,1.43,102.9736922,0
artesunate,100.0,1.57,96.4864799,0
articaine,833.33,4.27,97.3051377,0
ARV-825,833.33,1.39,76.28162486,0
AS-1269574,1.0,1.81,101.6021485,0
AS-1892802,8.33,2.37,98.18072722,0
AS-1949490,10000.0,-0.53,96.81483198,0
AS-2034178,8.33,4.34,98.22681394,0
AS-2444697,100.0,-0.57,100.5633739,0
AS-252424,100.0,-0.46,99.26681843,0
AS-604850,1.0,2.29,102.7296745,0
AS-703026,1.0,-1.62,98.15239084,0
AS-77,10000.0,5.41,101.6581818,0
ASA-404,1.0,4.48,101.7129791,0
asaraldehyde,10000.0,0.07,102.3052393,0
ASC-J9,10000.0,19.73,102.7718205,0
ascomycin,100.0,2.8,98.10780225,0
ASCORBIC ACID,8.33,-0.03,111.6052192,0
asenapine,10000.0,6.35,100.2539741,0
