rank,compound_name,chembl_id,composite_score,ab_activity_z_max,cpe_activity_z_max,cp_morph_z_max,toxicity_z_max,flag_ab_toxicity,flag_cpe_toxicity,flag_cp_only,flag_ab_no_cpe
415,pyronaridine,CHEMBL35228,2.1079107017426253,0.44966666666666666,4.075907142857142,1.4884058896655081,12.945105523826342,False,True,False,False
416,halofuginone,CHEMBL1199540,2.107041164738983,0.505875,5.208164556962026,-0.8928732902291362,16.03458372992111,False,True,False,False
417,BMS-191095,CHEMBL11594,2.0982494167443733,2.759318181818182,1.088591772151899,2.795427175781704,1.5656538804368876,True,False,False,False
419,glafenine,CHEMBL146095,2.092878214190507,2.5140454545454545,1.0358392857142857,3.364621590433053,2.141799589696572,True,False,False,True
422,DPI-201106,CHEMBL314639,2.0885183908068923,3.2600833333333337,1.7332088607594935,0.45600756584880603,5.909104639163139,True,True,False,False
424,PHCCC,CHEMBL164770,2.071973819951569,3.004590909090909,1.5214285714285711,1.3078301387188835,1.9237685291060427,True,True,False,False
425,caffeic-acid-phenethyl-ester,CHEMBL319244,2.0717363116908847,3.004590909090909,2.442265402843602,-0.5350310654146001,1.0266319372495019,False,False,False,True
426,DPPE,CHEMBL2107467,2.067707246210345,3.9856818181818183,0.017075949367088613,2.3330206959539104,0.3066146819224934,False,False,False,True
428,deptropine,CHEMBL1622878,2.057954744668754,0.44966666666666666,4.088556872037915,1.2133266459346053,2.7805083422516437,False,True,False,False
431,brinzolamide,CHEMBL220491,2.05526329039265,4.230954545454545,0.17749999999999996,1.4594073610541591,2.218860420513199,True,False,False,True
432,oxelaidin,CHEMBL1500276,2.0518129585435787,3.679090909090909,0.16622748815165878,2.568427998232757,1.10913787389453,False,False,False,True
433,NVS-PAK1-1,CHEMBL3609372,2.0479855568954948,1.68625,3.402382911392405,0.06266196169266257,8.826843672435164,True,True,False,False
434,casin,CHEMBL4303199,2.0413215911601528,0.2810416666666667,4.6575663507109,0.3293919210456288,2.725035463706699,False,True,False,False
435,LCQ908,CHEMBL2364624,2.038827194543282,3.679090909090909,0.677696682464455,1.4805607896056805,-0.39051228863042003,False,False,False,True
439,azelastine,CHEMBL639,2.032411540877259,3.8630454545454542,-0.1927142857142857,2.8213953667239573,1.109454880533187,False,False,False,True
440,flunarizine,CHEMBL30008,2.024904874506058,4.169636363636363,-0.18257142857142855,2.150394502400421,0.7977340599020261,False,False,False,True
442,C-021,CHEMBL508207,2.0189264149385058,5.901875,-2.0331357142857143,2.357153503263956,12.863458955106749,True,False,False,True
443,1-azakenpaullone,CHEMBL336961,2.0181231923233622,1.4716363636363636,2.726770142180095,1.693802949983894,1.6119945255118238,False,True,False,False
444,NVP-BVU972,CHEMBL1738731,2.0104509292946666,2.5140454545454545,1.1603957345971567,2.7033722681881103,1.3961778133137503,False,False,False,True
447,BI-78D3,CHEMBL508280,1.9975052477453599,3.091458333333333,0.7997642857142859,2.20508100063156,12.912583262313595,True,False,False,True
448,NSC-3852,CHEMBL1479316,1.9964219767394153,-0.6131818181818182,6.294267772511849,-1.3800620249629847,8.99112142541887,False,True,False,False
450,MR-16728,CHEMBL1378945,1.990103172685868,3.433818181818182,0.32457142857142857,2.4337366426501186,0.8545605226351061,False,False,False,True
451,GZD824,CHEMBL2316582,1.9882586603679897,0.6745,2.9059285714285714,2.780436158982805,14.61376828667258,False,True,False,False
452,biperiden,CHEMBL1101,1.9857293679587884,3.433818181818182,0.04336071428571429,2.9742890475861485,1.4032749514610534,False,False,False,True
453,3-alpha-bis-(4-fluorophenyl)-methoxytropane,CHEMBL1552961,1.9845157872217607,3.740409090909091,0.49700000000000005,1.4477607542906195,1.6221311437207235,True,False,False,True
454,APR-246,CHEMBL3186011,1.977602389662166,2.8206363636363636,1.591947867298578,1.0628434864409464,0.6894295500699267,False,False,False,True
456,YIL-781,CHEMBL243001,1.9745611408267512,3.3724999999999996,0.7371321428571429,1.6535414184194692,1.320511274738036,False,False,False,True
457,cloperastine,CHEMBL415087,1.9680881048623222,3.433818181818182,0.24089285714285716,2.4910184463895324,1.5475749128417584,True,False,False,True
458,ITD-1,CHEMBL2180273,1.9651821354947372,0.7971363636363636,4.254928571428572,-0.2782191926561842,2.371138377237379,False,True,False,False
