chembl_id,admet_score,solubility_score,logP_score,pampa_score,pgp_score,herg_score,ames_score,cyp_score,has_admet
CHEMBL1200645,0.5872125,0.548,0.6511249999999997,0.5,1.0,0.0,1.0,0.625,True
CHEMBL1200721,0.5183,0.15399999999999991,0.0,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1200732,0.601505,0.19800000000000004,0.7440499999999994,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1200762,0.6251,0.688,0.0,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1200774,0.5006400000000001,0.44000000000000006,0.7514000000000001,0.0,1.0,0.0,1.0,0.875,True
CHEMBL1200794,0.5736749999999999,0.9099999999999999,0.66675,0.0,1.0,0.0,1.0,0.75,True
CHEMBL1200796,0.5206825,0.8460000000000001,0.639825,0.0,1.0,1.0,0.0,0.375,True
CHEMBL1200845,0.6315675,0.39399999999999996,0.6526749999999992,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1200863,0.5708700000000001,0.686,0.9617,0.0,1.0,1.0,0.0,0.875,True
CHEMBL1200865,0.4416875,0.19800000000000004,0.6458749999999993,0.0,1.0,0.0,1.0,0.875,True
CHEMBL1200869,0.5878455,1.0,0.503455,0.0,1.0,1.0,0.0,0.875,True
CHEMBL1200877,0.46398249999999996,0.0,0.7648249999999994,0.0,0.0,1.0,1.0,0.875,True
CHEMBL1200878,0.6662524999999999,0.13200000000000003,0.5235249999999989,0.5,1.0,1.0,1.0,0.875,True
CHEMBL1200908,0.6293224999999999,0.027999999999999935,0.6122249999999991,0.5,1.0,1.0,1.0,0.625,True
CHEMBL1200909,0.6183825,0.15999999999999998,0.7388249999999994,0.5,1.0,0.5,1.0,0.875,True
CHEMBL1200914,0.8100324999999999,0.958,0.9343249999999997,1.0,1.0,0.0,1.0,0.75,True
CHEMBL1200948,0.63578,0.40800000000000003,0.6667999999999994,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1200953,0.6760625,0.142,0.6016249999999992,0.5,1.0,1.0,1.0,0.875,True
CHEMBL1200955,0.9619545,0.9279999999999999,0.8885449999999996,1.0,1.0,1.0,1.0,0.875,True
CHEMBL1200968,0.6463000000000001,0.794,0.0,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1200975,0.5783225,0.21600000000000003,0.476224999999999,0.5,0.0,1.0,1.0,0.875,True
CHEMBL1200981,0.5311775000000001,0.728,0.48077499999999984,0.0,1.0,1.0,0.0,0.875,True
CHEMBL1200983,,,,0.5,0.5,0.5,0.5,0.5,False
CHEMBL1200989,0.8658325,0.572,0.6393249999999993,1.0,1.0,1.0,1.0,0.875,True
CHEMBL1201000,0.5791000000000001,0.708,0.0,0.5,1.0,1.0,0.0,0.875,True
CHEMBL1201001,0.6079400000000001,1.0,0.8294,0.0,1.0,1.0,0.0,0.75,True
CHEMBL1201002,0.8530225,1.0,0.9052250000000001,0.5,1.0,1.0,1.0,0.625,True
CHEMBL1201012,0.5326675000000001,0.476,0.9996750000000002,0.0,1.0,0.0,1.0,0.875,True
CHEMBL1201014,0.6491000000000001,0.808,0.0,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1201059,0.394029,0.674,0.9672900000000001,0.0,1.0,0.0,0.0,0.625,True
CHEMBL1201064,0.6761475000000001,0.13000000000000006,0.7514749999999994,0.5,1.0,1.0,1.0,0.75,True
CHEMBL1201080,0.697385,0.6519999999999999,0.79485,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1201093,0.6097300000000001,1.0,0.34729999999999994,0.0,0.0,1.0,1.0,0.75,True
CHEMBL1201104,0.6995300000000002,1.0,0.24530000000000074,0.0,1.0,1.0,1.0,0.75,True
CHEMBL1201109,0.5387675000000001,0.528,0.9566750000000003,0.0,1.0,0.0,1.0,0.875,True
CHEMBL1201112,0.6723000000000001,0.924,0.0,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1201148,0.677695,0.512,0.8779500000000001,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1201167,0.667865,0.37799999999999995,0.9226499999999996,1.0,1.0,0.0,1.0,0.5,True
CHEMBL1201173,0.5466924999999999,0.476,0.6399249999999992,0.0,0.0,1.0,1.0,0.875,True
CHEMBL1201179,0.6918000000000001,0.33399999999999996,0.0,1.0,1.0,1.0,1.0,0.25,True
CHEMBL1201463,,,,0.5,0.5,0.5,0.5,0.5,False
CHEMBL1201470,,,,0.5,0.5,0.5,0.5,0.5,False
CHEMBL1201481,,,,0.5,0.5,0.5,0.5,0.5,False
CHEMBL1201556,,,,0.5,0.5,0.5,0.5,0.5,False
CHEMBL1201733,0.9209790000000001,0.8,0.7347899999999997,1.0,1.0,1.0,1.0,0.875,True
CHEMBL1201734,0.7346400000000001,0.884,0.7033999999999994,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1201740,0.6817764999999999,0.528,0.13676499999999847,1.0,0.0,1.0,1.0,0.625,True
CHEMBL1201746,0.5603400000000001,0.053999999999999916,0.6204000000000001,0.0,1.0,1.0,1.0,0.875,True
