compound_name,chembl_id
CB-839,CHEMBL3639788
CBiPES,CHEMBL4303163
CC-115,CHEMBL3586573
CC-223,CHEMBL3586404
CC-401,CHEMBL1614713
CC-930,CHEMBL1950289
CC4,CHEMBL4303499
CCG-1423,CHEMBL4303616
CCG-50014,CHEMBL1917204
CCG-63802,CHEMBL1476646
CCG-63808,CHEMBL1604848
CCMI,CHEMBL271130
CCMQ,CHEMBL25599
CCT-031374,CHEMBL4303205
CCT018159,CHEMBL399530
CCT128930,CHEMBL263664
CCT129202,CHEMBL392525
CCT137690,CHEMBL1236904
CD-1530,CHEMBL5277896
CD-437,CHEMBL1180
CDBA,
CDK1-5-inhibitor,CHEMBL259389
CDPPB,CHEMBL190270
CE3F4,CHEMBL4159565
CEFTIOFUR HYDROCHLORIDE,CHEMBL2106486
CEFUROXIME SODIUM,CHEMBL2146124
CEP-32496,CHEMBL2029988
CEP-33779,CHEMBL2062804
CF102,CHEMBL431733
CFM-2,CHEMBL279218
CFTRinh-172,CHEMBL1554655
CG-400549,CHEMBL488937
CGH2466,CHEMBL1551336
CGK-733,CHEMBL1221601
CGM097,CHEMBL3601398
CGP-12177,CHEMBL420746
CGP-13501,CHEMBL1256746
CGP-20712A,CHEMBL280822
CGP-37157,CHEMBL1495071
CGP-37849,CHEMBL29811
CGP-52411,CHEMBL268868
CGP-53353,CHEMBL7939
CGP-54626,CHEMBL2391908
CGP-55845,CHEMBL455185
CGP-57380,CHEMBL1240885
CGP-60474,CHEMBL300389
CGP-71683,CHEMBL17645
CGP-74514,CHEMBL367625
CGP-78608,CHEMBL86313
CGP-7930,CHEMBL1256697
CGS-15943,CHEMBL16687
CGS-20625,CHEMBL1395823
CGS-21680,CHEMBL331372
CGS-9896,CHEMBL507327
CH-5183284,CHEMBL3907479
CH223191,CHEMBL1743245
CH5132799,CHEMBL1684984
CH55,CHEMBL285480
CHC,CHEMBL76602
CHIR-124,CHEMBL377312
CHIR-98014,CHEMBL3185148
CHIR-99021,CHEMBL412142
CHLOROPHYLLIDE Cu COMPLEX Na SALT,CHEMBL4303560
CHLORTETRACYCLINE HYDROCHLORIDE,CHEMBL2146063
CHPG,CHEMBL345498
CI-844,CHEMBL333133
CI-923,CHEMBL161500
CI-966,CHEMBL77287
CI-976,CHEMBL22373
CID-16020046,CHEMBL1341792
CID-2011756,CHEMBL1504776
CID-2745687,CHEMBL1708510
CID-5458317,CHEMBL1241589
CIM-0216,CHEMBL4303225
CINPA-1,CHEMBL1622371
CIQ,CHEMBL2397100
CITCO,CHEMBL458603
CJ-033466,CHEMBL1671898
CK-636,CHEMBL1234574
CKD-712,CHEMBL5863227
CKI-7,CHEMBL489157
CL-218872,CHEMBL13662
CL-225385,CHEMBL3251047
CL316243,CHEMBL32590
CLINDAMYCIN HYDROCHLORIDE,CHEMBL1200588
CMPD-1,CHEMBL235658
CNQX,CHEMBL222418
CNX-2006,CHEMBL3985592
CNX-774,CHEMBL2216827
CO-101244,CHEMBL317229
CO-102862,CHEMBL287833
COR-170,CHEMBL523577
CP-316819,CHEMBL4303657
CP-339818,CHEMBL281622
CP-376395,CHEMBL270948
CP-471474,CHEMBL323612
CP-640186,CHEMBL208943
CP-673451,CHEMBL4303508
CP-775146,CHEMBL4303229
CP-91149,CHEMBL319136
CP-93129,CHEMBL304008
CP-94253,CHEMBL1570196
"CP-945,598",CHEMBL562668
CP-99994,CHEMBL441225
CPCCOEt,CHEMBL327783
CPI-0610,CHEMBL4303404
CPI-1189,CHEMBL4297369
CPI-169,CHEMBL3605457
CPI-203,CHEMBL4303293
CPI-360,CHEMBL3605456
CPI-613,CHEMBL3186849
CPP,CHEMBL4297273
CPSI-1306-(+/-),CHEMBL4303715
CR8-(R),CHEMBL518800
CRT0044876,CHEMBL1870764
CS-917,CHEMBL259771
CT-7758,CHEMBL4303708
CTEP,CHEMBL3410223
CTS-1027,CHEMBL440498
CU-CPT-4a,CHEMBL4303728
CU-T12-9,CHEMBL4303210
CUDC-101,CHEMBL598797
CUDC-427,CHEMBL4297282
CUDC-907,CHEMBL3622533
CUR-61414,CHEMBL480889
CV-1808,CHEMBL1256672
CVT-10216,CHEMBL4303226
CW-008,CHEMBL4303707
CX-4945,CHEMBL1230165
CX-516,CHEMBL136800
CX-5461,CHEMBL4303309
CY208-243,CHEMBL313737
CYC116,CHEMBL482967
CYM-50260,CHEMBL1720563
CYM-50358,CHEMBL1779732
CYM-50769,CHEMBL1972527
CYM-5442,CHEMBL3922179
