compound_name,chembl_id,morphology score,is_CP_hit
BTS-54505,CHEMBL1597911,-0.09,False
BTS-72664,CHEMBL4303701,-0.04,False
BTT-3033,CHEMBL4303254,0.27,False
BU-224,CHEMBL13698,0.13,False
BU-239,CHEMBL1368511,0.18,False
BU226,CHEMBL1518173,0.12,False
BVD-523,CHEMBL3590106,-0.02,False
BVT-2733,CHEMBL463978,-0.05,False
BVT-948,CHEMBL580421,-0.05,False
BW-180C,CHEMBL340032,0.16,False
BW-373U86,CHEMBL25230,0.1,False
BW-616U,CHEMBL81099,-0.01,False
BW-723C86,CHEMBL1600780,0.06,False
BW-A4C,CHEMBL314360,0.09,False
BX-795,CHEMBL577784,0.1,False
BX-912,CHEMBL3916849,-0.0,False
BYK-204165,CHEMBL4303397,0.09,False
Bardoxolone Methyl,CHEMBL1762621,-0.26,False
Betapar (Meprednisone),CHEMBL1201148,0.02,False
Boceprevir,CHEMBL218394,0.13,False
Brivaracetam,CHEMBL607400,0.03,False
C-021,CHEMBL508207,0.42,False
C-1,CHEMBL75773,0.45,False
C-751,CHEMBL4303392,-0.11,False
C34,CHEMBL4303607,0.22,False
C646,CHEMBL1797936,0.1,False
CARBENOXOLONE SODIUM,CHEMBL1697717,0.07,False
CARISOPRODOL,CHEMBL1233,-0.33,False
CAY10505,CHEMBL590022,0.01,False
CB-03-01,CHEMBL3590187,0.19,False
CB-10-277,CHEMBL422037,0.06,False
CB-5083,CHEMBL3747513,-0.06,False
CB-839,CHEMBL3639788,-0.01,False
CBiPES,CHEMBL4303163,0.37,False
CC-115,CHEMBL3586573,-0.05,False
CC-223,CHEMBL3586404,0.21,False
CC-401,CHEMBL1614713,0.36,False
CC-930,CHEMBL1950289,0.1,False
CC4,CHEMBL4303499,-0.22,False
CCG-1423,CHEMBL4303616,0.23,False
CCG-50014,CHEMBL1917204,0.22,False
CCG-63802,CHEMBL1476646,0.05,False
CCG-63808,CHEMBL1604848,0.01,False
CCMI,CHEMBL271130,0.0,False
CCMQ,CHEMBL25599,-0.05,False
CCT-031374,CHEMBL4303205,0.65,True
