source,term,count,studies_returned,has_nextPageToken
pubmed,"(""JHW-007""[Title/Abstract] AND ""SGI-1027""[Title/Abstract])",0.0,,
clinicaltrials,(JHW-007) AND (SGI-1027) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""SB-216641""[Title/Abstract] AND ""SGI-1027""[Title/Abstract])",0.0,,
clinicaltrials,(SB-216641) AND (SGI-1027) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Crizotinib (PF-02341066)""[Title/Abstract] AND ""LY2608204""[Title/Abstract])",0.0,,
clinicaltrials,(Crizotinib (PF-02341066)) AND (LY2608204) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""SB-216641""[Title/Abstract] AND ""MK-2206 dihydrochloride""[Title/Abstract])",0.0,,
clinicaltrials,(SB-216641) AND (MK-2206 dihydrochloride) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""UNC0638""[Title/Abstract] AND ""SGI-1027""[Title/Abstract])",0.0,,
clinicaltrials,(UNC0638) AND (SGI-1027) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Ozanimod""[Title/Abstract] AND ""Ceritinib""[Title/Abstract])",0.0,,
clinicaltrials,(Ozanimod) AND (Ceritinib) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""pyrintegrin""[Title/Abstract] AND ""IKK-16""[Title/Abstract])",0.0,,
clinicaltrials,(pyrintegrin) AND (IKK-16) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""BAY-11-7082""[Title/Abstract] AND ""Golvatinib (E7050)""[Title/Abstract])",0.0,,
clinicaltrials,(BAY-11-7082) AND (Golvatinib (E7050)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""SIMVASTATIN""[Title/Abstract] AND ""Lomitapide""[Title/Abstract])",5.0,,
clinicaltrials,(SIMVASTATIN) AND (Lomitapide) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""SB-772077B""[Title/Abstract] AND ""ML-298""[Title/Abstract])",0.0,,
clinicaltrials,(SB-772077B) AND (ML-298) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""PENFLURIDOL""[Title/Abstract] AND ""Lomitapide""[Title/Abstract])",2.0,,
clinicaltrials,(PENFLURIDOL) AND (Lomitapide) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""SB-772077B""[Title/Abstract] AND ""KU-60019""[Title/Abstract])",0.0,,
clinicaltrials,(SB-772077B) AND (KU-60019) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Thiazovivin""[Title/Abstract] AND ""DCC-2036 (Rebastinib)""[Title/Abstract])",0.0,,
clinicaltrials,(Thiazovivin) AND (DCC-2036 (Rebastinib)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""THIORIDAZINE HYDROCHLORIDE""[Title/Abstract] AND ""Thiazovivin""[Title/Abstract])",0.0,,
clinicaltrials,(THIORIDAZINE HYDROCHLORIDE) AND (Thiazovivin) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""madrasin""[Title/Abstract] AND ""Thiazovivin""[Title/Abstract])",0.0,,
clinicaltrials,(madrasin) AND (Thiazovivin) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Ceritinib""[Title/Abstract] AND ""Thiazovivin""[Title/Abstract])",0.0,,
clinicaltrials,(Ceritinib) AND (Thiazovivin) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""IT1t""[Title/Abstract] AND ""Thiazovivin""[Title/Abstract])",0.0,,
clinicaltrials,(IT1t) AND (Thiazovivin) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""SB-772077B""[Title/Abstract] AND ""LY2608204""[Title/Abstract])",0.0,,
clinicaltrials,(SB-772077B) AND (LY2608204) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""U-18666A""[Title/Abstract] AND ""Thiazovivin""[Title/Abstract])",0.0,,
clinicaltrials,(U-18666A) AND (Thiazovivin) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""PENFLURIDOL""[Title/Abstract] AND ""BMS-833923 (XL139)""[Title/Abstract])",0.0,,
clinicaltrials,(PENFLURIDOL) AND (BMS-833923 (XL139)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Thiazovivin""[Title/Abstract] AND ""Ebastine""[Title/Abstract])",0.0,,
clinicaltrials,(Thiazovivin) AND (Ebastine) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Lasofoxifene (Tartrate)""[Title/Abstract] AND ""Thiazovivin""[Title/Abstract])",0.0,,
clinicaltrials,(Lasofoxifene (Tartrate)) AND (Thiazovivin) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Revaprazan Hydrochloride""[Title/Abstract] AND ""NVP-ADW742""[Title/Abstract])",0.0,,
clinicaltrials,(Revaprazan Hydrochloride) AND (NVP-ADW742) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""SGI-1776 free base""[Title/Abstract] AND ""NPS-2143 (SB262470)""[Title/Abstract])",0.0,,
clinicaltrials,(SGI-1776 free base) AND (NPS-2143 (SB262470)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""IT1t""[Title/Abstract] AND ""SGI-1027""[Title/Abstract])",0.0,,
clinicaltrials,(IT1t) AND (SGI-1027) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""MCOPPB""[Title/Abstract] AND ""GK921""[Title/Abstract])",0.0,,
clinicaltrials,(MCOPPB) AND (GK921) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""pyrintegrin""[Title/Abstract] AND ""Dronedarone HCl (Multaq)""[Title/Abstract])",0.0,,
clinicaltrials,(pyrintegrin) AND (Dronedarone HCl (Multaq)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""AY-9944""[Title/Abstract] AND ""Thiazovivin""[Title/Abstract])",0.0,,
