rank,chembl_id,composite_final,direct_antiviral_score,focus_protein_score,focus_pathway_score,focus_moa_score,focus_protein_hits,focus_pathways,focus_moas,veroe6_relevant,mechanistic_rationale,compound_name,morphology_score,is_cp_hit,compound_identifier_used,antiviral_score_norm,cp_morphology_norm,integrated_score,integrated_rank
2232.0,CHEMBL1801932,0.0016496010460186,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,BS-181,0.71,True,CHEMBL1801932,0.0,0.8287671232876712,0.3315068493150685,69
1332.0,CHEMBL2111101,0.0249918837042165,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,pimavanserin,0.71,True,CHEMBL2111101,0.0,0.8287671232876712,0.3315068493150685,70
4693.0,CHEMBL4303620,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,pyrintegrin,0.71,True,CHEMBL4303620,0.0,0.8287671232876712,0.3315068493150685,71
2245.0,CHEMBL460491,0.0015339078629004,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,IT1t,0.71,True,CHEMBL460491,0.0,0.8287671232876712,0.3315068493150685,72
60.0,CHEMBL3989870,0.5533351548973018,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,VE-822,0.57,True,CHEMBL3989870,0.062178218306311844,0.732876712328767,0.33045761591529393,73
18.0,CHEMBL506247,1.1471191634354851,1.011709959763137,1.8394726541147943,0.0,0.0,TMPRSS2,,,False,Host protein hits: TMPRSS2,tannic-acid,-0.11,False,CHEMBL506247,0.37073583873004834,0.2671232876712329,0.3292908183065222,74
2148.0,CHEMBL4297188,0.0019222173612601,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,ARQ-092,0.7,True,CHEMBL4297188,0.0,0.821917808219178,0.3287671232876712,75
68.0,CHEMBL1229535,0.5424033468340356,0.4577042230404515,0.0,3.051361486936344,0.0,,Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,,True,Relevant pathways: Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,PIK-93,0.33,False,CHEMBL1229535,0.1677233256247812,0.5684931506849316,0.3280312556488414,76
2128.0,CHEMBL214253,0.002059503359812,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,PD-407824,0.69,True,CHEMBL214253,0.0,0.815068493150685,0.326027397260274,77
869.0,CHEMBL260015,0.0482149770863828,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,LY2109761,0.69,True,CHEMBL260015,0.0,0.815068493150685,0.326027397260274,78
1775.0,CHEMBL3808844,0.0074215682695539,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,LDC1267,0.69,True,CHEMBL3808844,0.0,0.815068493150685,0.326027397260274,79
4539.0,CHEMBL4303221,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,stemregenin-1,0.69,True,CHEMBL4303221,0.0,0.815068493150685,0.326027397260274,80
1236.0,CHEMBL1078261,0.0323381248317553,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,propiverine,0.68,True,CHEMBL1078261,0.0,0.8082191780821919,0.32328767123287677,81
350.0,CHEMBL1626,0.1561974143812312,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,clemastine,0.68,True,CHEMBL1626,0.0,0.8082191780821919,0.32328767123287677,82
2018.0,CHEMBL527026,0.002811934995909,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,cot-inhibitor-2,0.68,True,CHEMBL527026,0.0,0.8082191780821919,0.32328767123287677,83
