compound_identifier_used,chembl_id,direct_antiviral_score,morphology_score,antiviral_score_norm,cp_morphology_norm,integrated_score,integrated_rank,rank
CHEMBL4303262,CHEMBL4303262,0.0,0.64,0.0,0.7808219178082193,0.3123287671232877,91,4557.0
CHEMBL4303527,CHEMBL4303527,0.0,0.64,0.0,0.7808219178082193,0.3123287671232877,92,4656.0
CHEMBL1263,CHEMBL1263,0.2168684790029854,0.46,0.07947032317059056,0.6575342465753424,0.3106958925324913,93,173.0
CHEMBL428496,CHEMBL428496,0.4577042230404515,0.26,0.1677233256247812,0.5205479452054794,0.30885317345706054,94,66.0
CHEMBL2057915,CHEMBL2057915,0.2166840406124942,0.45,0.07940273668423356,0.6506849315068493,0.3079156146132799,95,228.0
CHEMBL1287854,CHEMBL1287854,0.0,0.62,0.0,0.767123287671233,0.3068493150684932,96,3289.0
CHEMBL237352,CHEMBL237352,0.0,0.62,0.0,0.767123287671233,0.3068493150684932,97,4019.0
CHEMBL275707,CHEMBL275707,0.0,0.62,0.0,0.767123287671233,0.3068493150684932,98,1116.0
CHEMBL303958,CHEMBL303958,0.0,0.62,0.0,0.767123287671233,0.3068493150684932,99,2379.0
CHEMBL3105848,CHEMBL3105848,0.0,0.62,0.0,0.767123287671233,0.3068493150684932,100,4196.0
CHEMBL481512,CHEMBL481512,0.0,0.62,0.0,0.767123287671233,0.3068493150684932,101,4847.0
