smiles,p_value_0,p_value_1,PGP_inhibition
Cc1c(N(C)CS(=O)(=O)[O-])c(=O)n(-c2ccccc2)n1C.O.[Na+],0.904,0.000529,0
Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,0.644,0.0619,0
CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O.O,0.548,0.0982,0
O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,0.596,0.0792,0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.795,0.039,0
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,0.237,0.168,0
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,0.558,0.0653,0
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,0.0332,0.425,1
CC(C(=O)O)c1cccc(Oc2ccccc2)c1,0.821,0.0432,0
CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,0.806,0.0394,0
CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,0.824,0.0438,0
COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,0.987,0.017,0
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,0.546,0.0874,0
Cc1cccc(Nc2ccccc2C(=O)O)c1C,0.427,0.135,0
C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,0.885,0.0311,0
NC(CO)(CO)CO.O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,0.769,0.0428,0
CCC(=O)[N-]S(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1.[Na+],0.616,0.0405,0
Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.O.O.O.[Na+].[Na+],0.823,0.0314,0
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,0.627,0.0593,0
CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,0.627,0.0501,0
CCCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O,0.257,0.166,0
CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,0.803,0.0343,0
CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1,0.964,0.0157,0
Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,0.639,0.0599,0
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,0.888,0.0161,0
CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,0.968,0.000315,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1.NCCCC[C@H](N)C(=O)O,0.965,0.00705,0
CS(=O)(=O)Nc1cc2occ(NC=O)c(=O)c2cc1Oc1ccccc1,0.437,0.11,0
CCOc1ccc(-c2nn3ncccc3c2-c2ccc(S(C)(=O)=O)cc2)cc1,0.508,0.0962,0
O=C(O)CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1,0.884,0.0223,0
CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.O.O.[Na+],0.826,0.0454,0
Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,0.922,0.0168,0
COc1ccc2cc([C@H](C)C(=O)OCCCCO[N+](=O)[O-])ccc2c1,0.812,0.0332,0
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,0.79,0.0513,0
CC1(C)OC(c2ccc(S(N)(=O)=O)cc2)=C(c2cccc(F)c2)C1=O,0.0609,0.27,1
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12.Cl,0.0385,0.43,1
C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.798,0.0415,0
CCOc1ccc(-c2cc(C)cn2-c2ccc(S(N)(=O)=O)cc2)cc1,0.167,0.175,1
O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,0.781,0.0551,0
COc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1F,0.0999,0.209,1
COc1ccc2cc([C@H](C)C(=O)OCCS(C)(=O)=O)ccc2c1,0.786,0.0294,0
COc1ccc2c(c1)c(CC(=O)[O-])c(C)n2C(=O)c1ccc(Cl)cc1.O.O.O.[Na+],0.482,0.13,0
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,0.509,0.0977,0
