pair_key,name_1,name_2,target_overlap_jaccard,moa_overlap_jaccard
MK-2206 dihydrochloride||UNC0638,UNC0638,MK-2206 dihydrochloride,0.0,0.0
NPS-2143 (SB262470)||THIORIDAZINE HYDROCHLORIDE,THIORIDAZINE HYDROCHLORIDE,NPS-2143 (SB262470),0.058823529411764705,0.0
CEPHARANTHINE||Miransertib,CEPHARANTHINE,Miransertib,0.0,0.0
DCC-2036 (Rebastinib)||JIB04 (NSC693627),DCC-2036 (Rebastinib),JIB04 (NSC693627),0.0,0.0
JHW-007||cyclovalone,JHW-007,cyclovalone,0.0,0.0
SGI-1776 free base||droloxifene,droloxifene,SGI-1776 free base,0.0,0.0
PD173074||PERHEXILINE MALEATE,PERHEXILINE MALEATE,PD173074,0.0,0.0
DCC-2036 (Rebastinib)||Ebastine,DCC-2036 (Rebastinib),Ebastine,0.0,0.0
U-18666A||fendiline,U-18666A,fendiline,0.0,0.0
EHop-016||MK-2206 dihydrochloride,MK-2206 dihydrochloride,EHop-016,0.0,0.0
CGP-71683||PERHEXILINE MALEATE,PERHEXILINE MALEATE,CGP-71683,0.0,0.0
LY2608204||Y-320,LY2608204,Y-320,0.0,0.0
PENFLURIDOL||TOREMIFENE CITRATE,TOREMIFENE CITRATE,PENFLURIDOL,0.0,0.0
MK-2206 dihydrochloride||NTNCB,NTNCB,MK-2206 dihydrochloride,0.0,0.0
Endoxifen HCl||MK-2206 dihydrochloride,MK-2206 dihydrochloride,Endoxifen HCl,0.0,0.0
MK-2206 dihydrochloride||metixene,metixene,MK-2206 dihydrochloride,0.0,0.0
PD173074||Thiazovivin,PD173074,Thiazovivin,0.0,0.0
AMG-548||BMS-566419,AMG-548,BMS-566419,0.0,0.0
Benztropine mesylate||NPS-2143 (SB262470),NPS-2143 (SB262470),Benztropine mesylate,0.1111111111111111,0.0
PENFLURIDOL||SNAP-5089,PENFLURIDOL,SNAP-5089,0.12,0.0
PD173074||UNC1999,PD173074,UNC1999,0.0,0.0
UNC1999||fendiline,fendiline,UNC1999,0.0,0.0
Tenovin-6||haloprogin,haloprogin,Tenovin-6,0.0,0.0
PERHEXILINE MALEATE||calpeptin,calpeptin,PERHEXILINE MALEATE,0.0,0.0
Propiverine Hydrochloride||SULOCTIDIL,SULOCTIDIL,Propiverine Hydrochloride,0.11764705882352941,0.0
BMS-833923 (XL139)||SR-33805 oxalate,SR-33805 oxalate,BMS-833923 (XL139),0.0,0.0
IT1t||SB-216641,SB-216641,IT1t,0.0,0.0
Dronedarone HCl (Multaq)||THIORIDAZINE HYDROCHLORIDE,THIORIDAZINE HYDROCHLORIDE,Dronedarone HCl (Multaq),0.15217391304347827,0.0
NPS-2143 (SB262470)||SB-216641,SB-216641,NPS-2143 (SB262470),0.0,0.0
NVP-ADW742||TA-01,NVP-ADW742,TA-01,0.0,0.0
LY2109761||SULOCTIDIL,SULOCTIDIL,LY2109761,0.0,0.0
PENFLURIDOL||SB-216641,SB-216641,PENFLURIDOL,0.18181818181818182,0.0
EHop-016||GW-803430,GW-803430,EHop-016,0.0,0.0
MK-2206 dihydrochloride||Tetrandrine (Fanchinine),MK-2206 dihydrochloride,Tetrandrine (Fanchinine),0.0,0.0
SULOCTIDIL||pifithrin-mu,SULOCTIDIL,pifithrin-mu,0.0,0.0
PD173074||SB-216641,SB-216641,PD173074,0.0,0.0
SULOCTIDIL||UNC1999,SULOCTIDIL,UNC1999,0.0,0.0
CEPHARANTHINE||bifemelane,bifemelane,CEPHARANTHINE,0.0,0.0
CLOMIPHENE CITRATE||PENFLURIDOL,CLOMIPHENE CITRATE,PENFLURIDOL,0.0,0.0
CLOMIPHENE CITRATE||pyrintegrin,CLOMIPHENE CITRATE,pyrintegrin,0.0,0.0
Ozanimod||SIMVASTATIN,SIMVASTATIN,Ozanimod,0.0,0.0
Nelfinavir Mesylate||SULOCTIDIL,SULOCTIDIL,Nelfinavir Mesylate,0.0,0.0
Auranofin||PIMOZIDE,PIMOZIDE,Auranofin,0.0,0.0
CEPHARANTHINE||metixene,CEPHARANTHINE,metixene,0.0,0.0
GR-127935||PERHEXILINE MALEATE,GR-127935,PERHEXILINE MALEATE,0.0,0.0
EHop-016||SNAP-5089,SNAP-5089,EHop-016,0.0,0.0
GW-803430||MK-2206 dihydrochloride,GW-803430,MK-2206 dihydrochloride,0.0,0.0
3'-fluorobenzylspiperone||HTH-01-015,3'-fluorobenzylspiperone,HTH-01-015,0.0,0.0
BMS-833923 (XL139)||JHW-007,JHW-007,BMS-833923 (XL139),0.0,0.0
UNC0646||norfluoxetine,norfluoxetine,UNC0646,0.0,0.0
Lasofoxifene (Tartrate)||MK-2206 dihydrochloride,Lasofoxifene (Tartrate),MK-2206 dihydrochloride,0.0,0.0
nemonapride||parthenolide-(alternate-stereo),nemonapride,parthenolide-(alternate-stereo),0.0,0.0
JHW-007||SB-216641,SB-216641,JHW-007,0.0,0.0
PENFLURIDOL||PIMOZIDE,PIMOZIDE,PENFLURIDOL,0.5,0.0
Dronedarone HCl (Multaq)||Revaprazan Hydrochloride,Revaprazan Hydrochloride,Dronedarone HCl (Multaq),0.0,0.0
UNC0638||Y-29794 oxalate,Y-29794 oxalate,UNC0638,0.0,0.0
CEPHARANTHINE||PENFLURIDOL,CEPHARANTHINE,PENFLURIDOL,0.0,0.0
BMS-833923 (XL139)||calpeptin,calpeptin,BMS-833923 (XL139),0.0,0.0
Dronedarone HCl (Multaq)||Ozanimod,Ozanimod,Dronedarone HCl (Multaq),0.0,0.0
Dronedarone HCl (Multaq)||WAY-600,Dronedarone HCl (Multaq),WAY-600,0.0,0.0
BAY-11-7082||fendiline,BAY-11-7082,fendiline,0.0,0.0
PENFLURIDOL||Y-29794 oxalate,PENFLURIDOL,Y-29794 oxalate,0.0,0.0
AY-9944||Dronedarone HCl (Multaq),AY-9944,Dronedarone HCl (Multaq),0.0,0.0
10-DEBC||MK-2206 dihydrochloride,10-DEBC,MK-2206 dihydrochloride,0.0,1.0
JHW-007||Y-29794 oxalate,Y-29794 oxalate,JHW-007,0.0,0.0
BMS-833923 (XL139)||U-18666A,U-18666A,BMS-833923 (XL139),0.0,0.0
Dronedarone HCl (Multaq)||METITEPINE MESYLATE,METITEPINE MESYLATE,Dronedarone HCl (Multaq),0.0,0.0
