pair_key,name_1,name_2,target_1,moa_1,target_2,moa_2,mech_comp,external_novelty,priority_score
Cathepsin Inhibitor 1||SGI-1027,Cathepsin Inhibitor 1,SGI-1027,CTSB;CTSL;CTSS;CTSV,cathepsin inhibitor,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,3.178467285973601
PD173074||SGI-1027,PD173074,SGI-1027,FGFR1;FGFR2;FGFR3;FGFR4;FLT1;FLT4;KDR;PDGFRA;PDGFRB,FGFR inhibitor | VEGFR inhibitor,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,3.1728203890712754
GK921||SB-772077B,SB-772077B,GK921,AKT1;ROCK1;ROCK2;RPS6KA1;RPS6KA5,rho associated kinase inhibitor,TGM2,transglutaminase inhibitor,1.0,1,3.168558736176161
GW-803430||SGI-1027,GW-803430,SGI-1027,DRD3;HRH3;HTR2B;HTR2C;HTR5A;KCNH2;MCHR1;SIGMAR1;TMEM97,melanin inhibitor,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,3.142281270861775
MCOPPB||SGI-1027,MCOPPB,SGI-1027,OPRK1;OPRL1;OPRM1,nociceptin/orphanin FQ receptor agonist,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,3.138144079842491
GK921||Thiazovivin,GK921,Thiazovivin,TGM2,transglutaminase inhibitor,,rho associated kinase inhibitor,1.0,1,3.077773145795789
Ceritinib||UNC0638,UNC0638,Ceritinib,EHMT1;EHMT2;KDM1A,histone lysine methyltransferase inhibitor,ABCB1;ALK;CAMK4;EGFR;FER;FGFR2;FGFR3;FGFR4;FLT3;IGF1R;INSR;JAK2;LCK;LYN;MET;PTK2;RET;ROS1;TNK1;TNK2;TSSK1B,ALK tyrosine kinase receptor inhibitor,1.0,1,3.0701960478496932
SGI-1027||StemRegenin 1,StemRegenin 1,SGI-1027,AHR,aryl hydrocarbon receptor antagonist,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,3.05183969612279
Ceritinib||GSK2606414,GSK2606414,Ceritinib,AURKB;DDR2;EIF2AK1;EIF2AK2;EIF2AK3;KIT;MAP3K10;MERTK;MYLK2;PTK6;RIPK1,protein kinase inhibitor,ABCB1;ALK;CAMK4;EGFR;FER;FGFR2;FGFR3;FGFR4;FLT3;IGF1R;INSR;JAK2;LCK;LYN;MET;PTK2;RET;ROS1;TNK1;TNK2;TSSK1B,ALK tyrosine kinase receptor inhibitor,1.0,1,3.0183737932349426
Ceritinib||SR-33805 oxalate,SR-33805 oxalate,Ceritinib,,calcium channel blocker,ABCB1;ALK;CAMK4;EGFR;FER;FGFR2;FGFR3;FGFR4;FLT3;IGF1R;INSR;JAK2;LCK;LYN;MET;PTK2;RET;ROS1;TNK1;TNK2;TSSK1B,ALK tyrosine kinase receptor inhibitor,1.0,1,2.9086231823814925
Bazedoxifene HCl||SGI-1027,Bazedoxifene HCl,SGI-1027,ADRA2C;ESR1;ESR2;HTR2B;PTGS2;SLC6A2,selective estrogen receptor modulator (SERM),DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,2.881756206316632
Ceritinib||Curcumin,Ceritinib,Curcumin,ABCB1;ALK;CAMK4;EGFR;FER;FGFR2;FGFR3;FGFR4;FLT3;IGF1R;INSR;JAK2;LCK;LYN;MET;PTK2;RET;ROS1;TNK1;TNK2;TSSK1B,ALK tyrosine kinase receptor inhibitor,APP;CA1;CA12;CA14;CA2;CA4;CA6;CA9;CCND1;CHRM3;CISD1;CYP3A4;DNMT1;DNMT3B;DYRK1A;DYRK1B;DYRK2;EP300;F3;G6PC;GLO1;MAOA;MAPT;MMP13;MMP9;NOS2;PTGES;PTGS1;PTGS2;SNCA;XDH,cyclooxygenase inhibitor | histone acetyltransferase inhibitor | lipoxygenase inhibitor | NFkB pathway inhibitor,1.0,1,2.8765475965140936
